Datum,PublicViewing
2013-06-12,1
2013-06-13,1
2013-06-14,1
2013-06-15,1
2013-06-16,1
2013-06-17,1
2013-06-18,1
2013-06-19,1
2013-06-20,1
2013-06-21,1
2013-06-22,1
2013-06-23,1
2013-06-24,1
2013-06-25,1
2013-06-26,1
2013-06-28,1
2013-06-29,1
2013-06-30,1
2014-07-01,1
2014-07-04,1
2014-07-05,1
2014-07-08,1
2014-07-09,1
2014-07-12,1
2014-07-13,1
2016-06-10,1
2016-06-11,1
2016-06-12,1
2016-06-13,1
2016-06-14,1
2016-06-15,1
2016-06-16,1
2016-06-17,1
2016-06-18,1
2016-06-19,1
2016-06-20,1
2016-06-21,1
2016-06-22,1
2016-06-25,1
2016-06-26,1
2016-06-27,1
2016-06-30,1
2016-07-01,1
2016-07-02,1
2016-07-03,1
2016-07-06,1
2016-07-07,1
2016-07-10,1
2018-06-14,1
2018-06-15,1
2018-06-16,1
2018-06-17,1
2018-06-18,1
2018-06-19,1
2018-06-20,1
2018-06-21,1
2018-06-22,1
2018-06-23,1
2018-06-24,1
2018-06-25,1
2018-06-26,1
2018-06-27,1
2018-06-28,1
2018-06-30,1
2018-07-01,1
2018-07-02,1
2018-07-03,1
2018-07-06,1
2018-07-07,1
2018-07-10,1
2018-07-11,1
2018-07-14,1
2018-07-15,1
